,TBR (Theta/Beta),TAR (Theta/Alpha),TABR ((Theta+Alpha)/Beta),ABR (Alpha/Beta)
eeg.af3,4.557930562106161,3.3137383547294563,5.933395386701589,1.3754648245954275
eeg.f7,7.006152590511651,4.878543460736333,8.442268232200025,1.4361156416883747
eeg.f3,2.5461873486656845,2.4800059558667824,3.5728733263065937,1.0266859776409094
eeg.fc5,2.2158214894569697,2.7511917792400675,3.0212257130412885,0.8054042235843188
eeg.t7,4.997809428806301,3.1488620922860022,6.584988940411442,1.5871795116051415
eeg.p7,3.402929610419978,2.51413145963662,4.75645055729453,1.3535209468745522
eeg.o1,4.454093454210072,2.3229152120729593,6.371551916464416,1.9174584622543434
eeg.o2,1.9300001957102526,1.5751584522934174,3.155273875471217,1.2252736797609647
eeg.p8,2.261911543603908,2.041973984714971,3.369619847321436,1.107708303717528
eeg.t8,4.415252805721013,2.806859669011883,5.988275078847655,1.5730222731266428
eeg.fc6,2.076137914002942,2.5208679079819953,2.899718516331228,0.8235806023282861
eeg.f4,2.7669160070664818,2.721171524275854,3.783726589080609,1.0168105820141269
eeg.f8,5.206128126600944,4.225517325778546,6.438196937662381,1.232068811061437
eeg.af4,6.777925466878805,4.8977293581684025,8.161816847312007,1.3838913804332018
