,Delta,Theta,Alpha,Beta,Gamma
eeg.af3,0.00036628375944885603,0.0005924803762313227,0.00010050846748669548,8.161754480881632e-05,3.5102343456163e-05
eeg.f7,0.0004866372260461347,0.0007313331230902207,9.47067606373479e-05,6.954564618571321e-05,3.357513076733981e-05
eeg.f3,0.00015560680411682578,0.0003145938419006567,0.0001378807624329756,0.00012943922699699403,5.246501270706644e-05
eeg.fc5,0.00010394455145696643,0.00021827624759364087,9.326156805810209e-05,0.0001058742287381982,5.1722633314259254e-05
eeg.t7,0.00011216443420933199,0.00023845712564801768,7.55941479317359e-05,7.437503526134688e-05,2.8549865326544656e-05
eeg.p7,0.00015104069358522942,0.0003059672427678042,0.00011465488632851507,8.717202008733704e-05,3.1668131961150465e-05
eeg.o1,0.00015884993401363225,0.000287505249805005,0.00023767480351475563,8.365811670514948e-05,2.86554085927035e-05
eeg.o2,0.00023437493988575937,0.0004222481020251424,0.00033006591915663974,0.00012259589100572024,4.739968264195037e-05
eeg.p8,0.00035896422456743954,0.0007013247067585289,0.0003195204940723168,0.0002754984270857678,0.00011386351053796399
eeg.t8,9.286406169907457e-05,0.00020697013888617522,8.838175044929809e-05,8.203971271858892e-05,2.6658748537957507e-05
eeg.fc6,0.0001805912591307237,0.0003863946706655829,0.00019219792428774106,0.0002590355018136416,0.0001426937599614616
eeg.f4,0.00011502592097810218,0.00024262051722336654,0.00011886383681001641,0.0001224039459107261,4.4582048491121926e-05
eeg.f8,0.0005926532717028267,0.0007942781157463801,0.00014583914105961737,0.00018009948064159393,8.74397386864958e-05
eeg.af4,0.00035414983751705923,0.0006311568725328161,0.0001418670210105291,0.00014611550035428212,6.798743942635279e-05
