Channel,RN_mean,RW_mean,SN_mean,SW_mean
eeg.af3,4.492027796786017,8.042108533289717,13.975415315726693,36.85975491777352
eeg.f7,4.034316925287609,6.922166011732349,11.089875006069976,14.430844406454172
eeg.f3,1.9520113899632696,1.4964306142276478,6.834702730053707,32.14006857794617
eeg.fc5,2.3433041134470805,1.5262766402119592,10.084515031709826,9.225776057568103
eeg.t7,2.5144112965595506,2.629696840130599,8.1289973120521,9.136124294124327
eeg.p7,2.182146422582877,2.236451974111518,10.221252455759098,16.68168549995301
eeg.o1,2.0732435452659175,2.9392073286725777,9.929045289770277,7.579854993497258
eeg.o2,2.0319136562724673,2.3003146353187707,7.787972303596567,5.540687082808305
eeg.p8,1.8675137317742891,2.5070272394484037,4.840642146561021,12.798715122780223
eeg.t8,2.2425079309245244,2.947883538521094,11.973298169473624,11.562448543033074
eeg.fc6,1.7435951969426535,1.833009684466752,5.193267370080659,9.827020414721948
eeg.f4,2.5758194756633626,1.6292183838976098,8.202248268826395,46.12803122062094
eeg.f8,4.067565226263639,4.895194520120707,4.938411763340081,13.668908516185258
eeg.af4,6.046285635211414,5.656872470337604,10.406255545370675,21.064857639476042
